text,emotion
I am extremely happy today,joy
This is the best moment of my life,joy
Feeling joyful and excited,joy
I am very satisfied with the results,joy
Everything is going perfectly,joy
I feel sad and empty,sadness
This situation makes me depressed,sadness
I am feeling very lonely today,sadness
That was a heartbreaking experience,sadness
I feel low and disappointed,sadness
I am very angry about what happened,anger
This makes me furious and upset,anger
I hate this situation,anger
I am irritated and annoyed,anger
This is absolutely unacceptable,anger
I am scared of the consequences,fear
This situation is terrifying,fear
I feel anxious and nervous,fear
I am worried about the future,fear
That was a frightening experience,fear
I love spending time with my friends,joy
I am proud of my achievements,joy
Everything feels calm and peaceful,joy
I feel relaxed and content,joy
Today is a wonderful day,joy
I feel hopeless and tired,sadness
Nothing seems to go right,sadness
I regret my decision,sadness
This makes me feel miserable,sadness
I feel broken inside,sadness
I want to scream in anger,anger
I lost my temper today,anger
This is making me very mad,anger
I cannot control my anger,anger
My heart is racing with fear,anger
I feel panic and stress,fear
I am afraid of failing,fear
This gives me anxiety,fear
I feel threatened and unsafe,fear
Everything is falling apart,fear
